epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3784,1.46705,25.3751,1.19799,0.00018,0.61905,0.00016,5e-05,0.38515,29.1528,0.40258,0.000664141,0.000664141,0.000664141
2,61.718,1.58698,12.1068,1.38074,9e-05,0.28571,0.00055,0.00011,0.44848,13.199,0.52183,0.00130446,0.00130446,0.00130446
3,89.3385,1.80341,6.05028,1.46591,0.00011,0.38095,0.00332,0.0006,0.34932,1.28788,0.34919,0.00191837,0.00191837,0.00191837
4,116.873,1.75097,3.69299,1.43266,0.02532,0.09524,0.01514,0.00151,0.37211,0.60766,0.30103,0.0018812,0.0018812,0.0018812
5,143.412,1.82847,3.0717,1.50755,0.00149,0.38095,0.00595,0.00168,0.39816,0.89418,0.36498,0.0018416,0.0018416,0.0018416
6,169.29,1.65228,2.64741,1.31711,0,0,0,0,0.31265,0.74066,0.26967,0.001802,0.001802,0.001802
7,196.186,1.66561,2.62137,1.36946,0.2908,0.2381,0.22869,0.07297,0.33259,0.57218,0.28097,0.0017624,0.0017624,0.0017624
8,223.471,1.73152,2.36298,1.38754,0.43891,0.38095,0.32413,0.11259,0.32501,0.89814,0.29764,0.0017228,0.0017228,0.0017228
9,250.972,1.60405,1.91973,1.29375,0.31846,0.28571,0.30322,0.09724,0.30505,0.44393,0.26568,0.0016832,0.0016832,0.0016832
10,277.518,1.52122,1.84247,1.32382,0.5,0.04762,0.2619,0.02619,0.33147,0.77139,0.32241,0.0016436,0.0016436,0.0016436
11,304.946,1.48578,1.65478,1.2189,0.57466,0.52381,0.49367,0.19178,0.29242,0.48557,0.26507,0.001604,0.001604,0.001604
12,330.729,1.4174,1.67487,1.16174,0.44446,0.38095,0.46987,0.20558,0.2679,0.27803,0.25834,0.0015644,0.0015644,0.0015644
13,358.954,1.38514,1.47257,1.15805,0.56294,0.57143,0.61117,0.21861,0.29623,0.32506,0.27179,0.0015248,0.0015248,0.0015248
14,388.239,1.41303,1.48613,1.17268,0.1875,0.57143,0.29607,0.1126,0.31431,0.51304,0.29214,0.0014852,0.0014852,0.0014852
15,415.265,1.34828,1.36339,1.11775,0.77203,0.52381,0.62383,0.21758,0.3021,0.33141,0.26649,0.0014456,0.0014456,0.0014456
16,441.337,1.41102,1.49842,1.16762,0.8331,0.23776,0.44749,0.16168,0.32894,0.46868,0.29209,0.001406,0.001406,0.001406
17,467.34,1.38231,1.38577,1.16204,0.85006,0.42857,0.61458,0.22464,0.29348,0.27059,0.27585,0.0013664,0.0013664,0.0013664
18,493.761,1.4051,1.39869,1.15095,1,0.5201,0.72258,0.30158,0.28768,0.22938,0.26072,0.0013268,0.0013268,0.0013268
19,520.045,1.41836,1.38742,1.17186,0.70559,0.47619,0.64642,0.27801,0.25874,0.31648,0.25662,0.0012872,0.0012872,0.0012872
20,546.26,1.42249,1.35858,1.18808,0.4591,0.80952,0.61972,0.24352,0.27184,0.3525,0.25286,0.0012476,0.0012476,0.0012476
21,573.669,1.37164,1.31687,1.13696,0.82423,0.57143,0.67734,0.32482,0.27423,0.23624,0.25504,0.001208,0.001208,0.001208
22,603.655,1.32529,1.18718,1.12643,0.89521,0.52381,0.68373,0.30888,0.29443,0.27127,0.2629,0.0011684,0.0011684,0.0011684
23,629.565,1.2424,1.15896,1.04588,0.74588,0.66667,0.79421,0.31967,0.27171,0.22001,0.25161,0.0011288,0.0011288,0.0011288
24,654.904,1.2984,1.2274,1.10135,0.63918,0.42857,0.55853,0.24364,0.28203,0.33703,0.25958,0.0010892,0.0010892,0.0010892
25,681.131,1.28596,1.18077,1.09367,0.58961,0.61905,0.62905,0.2615,0.27154,0.28382,0.24541,0.0010496,0.0010496,0.0010496
26,707.113,1.16905,1.22341,0.98315,0.90741,0.46737,0.6834,0.29289,0.2568,0.27982,0.24594,0.00101,0.00101,0.00101
27,733.453,1.29766,1.2345,1.13726,0.76525,0.71429,0.8223,0.34838,0.2486,0.24642,0.23843,0.0009704,0.0009704,0.0009704
28,759.865,1.25676,1.15468,1.06936,0.69462,0.75836,0.77436,0.32659,0.26236,0.23684,0.24383,0.0009308,0.0009308,0.0009308
29,786.361,1.22768,1.11074,1.06226,0.59736,0.7775,0.67985,0.29789,0.27846,0.25194,0.26105,0.0008912,0.0008912,0.0008912
30,812.35,1.33339,1.27876,1.15311,0.79718,0.71429,0.76647,0.33508,0.263,0.20464,0.24836,0.0008516,0.0008516,0.0008516
31,837.958,1.15113,1.02206,0.99612,0.77736,0.90476,0.83908,0.37209,0.25553,0.23855,0.24654,0.000812,0.000812,0.000812
32,864.006,1.25268,1.03615,1.08295,0.62758,0.47619,0.5933,0.2501,0.28899,0.36058,0.25675,0.0007724,0.0007724,0.0007724
33,889.938,1.23692,1.05781,1.11017,0.70738,0.80952,0.77737,0.32436,0.25501,0.22161,0.24034,0.0007328,0.0007328,0.0007328
34,916.154,1.21388,1.05609,1.06632,0.80832,0.80351,0.84504,0.35679,0.25166,0.23515,0.23855,0.0006932,0.0006932,0.0006932
35,942.303,1.09299,0.89313,0.98047,0.69706,0.76718,0.79121,0.39948,0.24657,0.2852,0.23169,0.0006536,0.0006536,0.0006536
36,968.345,1.23186,1.05665,1.08443,0.93889,0.80952,0.8469,0.37887,0.25424,0.19943,0.23635,0.000614,0.000614,0.000614
37,994.884,1.07094,0.94705,0.89633,0.80416,0.78268,0.83233,0.34956,0.26097,0.19691,0.23476,0.0005744,0.0005744,0.0005744
38,1019.89,1.09235,0.90951,0.94782,0.84701,0.7619,0.81386,0.39375,0.25559,0.26226,0.24161,0.0005348,0.0005348,0.0005348
39,1045.71,1.19836,0.95137,1.03924,0.83692,0.73374,0.84007,0.3578,0.26695,0.20865,0.24007,0.0004952,0.0004952,0.0004952
40,1072.02,1.10822,0.83056,0.95919,0.84587,0.80952,0.86377,0.44264,0.24307,0.18807,0.22603,0.0004556,0.0004556,0.0004556
41,1136.42,0.9169,0.66631,0.85453,0.81195,0.82289,0.85679,0.36249,0.25589,0.2096,0.23298,0.000416,0.000416,0.000416
42,1160.87,0.87975,0.61463,0.84685,0.78626,0.87633,0.83296,0.41849,0.25012,0.22696,0.23375,0.0003764,0.0003764,0.0003764
43,1185.01,0.84034,0.57424,0.79425,0.8631,0.85714,0.87097,0.42851,0.24028,0.24009,0.23187,0.0003368,0.0003368,0.0003368
44,1209.11,0.83945,0.59898,0.78085,0.74364,0.85714,0.87274,0.42984,0.23071,0.17134,0.22187,0.0002972,0.0002972,0.0002972
45,1233.19,0.80124,0.53765,0.76273,0.77033,0.90476,0.85123,0.40628,0.24505,0.21161,0.23514,0.0002576,0.0002576,0.0002576
46,1257.05,0.83816,0.52552,0.78311,0.8662,0.80952,0.89633,0.41931,0.24074,0.18382,0.2232,0.000218,0.000218,0.000218
47,1281.3,0.85157,0.53565,0.82574,0.8165,0.84789,0.8934,0.4136,0.23328,0.16431,0.22586,0.0001784,0.0001784,0.0001784
48,1305.52,0.87993,0.55677,0.83803,0.79942,0.94907,0.92087,0.44959,0.23286,0.20859,0.22434,0.0001388,0.0001388,0.0001388
49,1329.49,0.78502,0.47953,0.74375,0.84891,0.90476,0.9231,0.46475,0.22978,0.19246,0.22184,9.92e-05,9.92e-05,9.92e-05
50,1353.52,0.78817,0.48794,0.74657,0.72098,0.85714,0.86418,0.43189,0.22536,0.19205,0.221,5.96e-05,5.96e-05,5.96e-05
